Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
1;CONCEIÇÃO;21;13.493;9.506;35.944;8.671;0;17.138;7.397;6.542;43.727;3.965;3.684
1;CONCEIÇÃO;22;4.644;3.371;13.088;3.230;0;8.109;3.157;2.529;15.363;0;1.737
1;CONCEIÇÃO;30;8.519;5.614;20.580;5.346;0;7.265;3.191;4.415;21.507;1.537;2.500
1;CONCEIÇÃO;31;9.631;6.020;23.460;7.587;0;7.065;2.922;5.491;22.212;140;2.478
1;CONCEIÇÃO;41;6.556;4.038;20.388;7.924;0;5.704;2.791;3.883;13.870;0;2.296
1;CONCEIÇÃO;59;8.184;6.086;22.623;7.332;0;13.514;4.373;4.622;29.075;4.573;2.650
1;CONCEIÇÃO;63;21.918;14.054;44.118;14.630;0;15.034;5.771;7.765;39.855;3.182;3.768
1;CONCEIÇÃO;71;7.188;5.395;19.626;4.209;0;10.865;4.075;3.608;23.923;3.773;2.389
1;CONCEIÇÃO;76;2.886;1.734;7.298;1.545;59;3.494;1.200;1.507;8.698;907;627
1;CONCEIÇÃO;83;4.386;3.932;14.967;1.194;0;3.207;1.125;2.573;17.649;2.491;1.284
1;CONCEIÇÃO;411;5.208;2.869;10.397;4.330;0;4.723;1.654;2.676;11.043;580;1.095
1;CONCEIÇÃO;587;0;0;0;0;0;0;0;0;0;0;1
1;CONCEIÇÃO;599;5.074;3.082;15.716;5.740;0;4.865;782;3.304;10.176;724;1.582
1;CONCEIÇÃO;905;155;79;890;38;0;249;32;52;522;491;249
1;CONCEIÇÃO;2369;561;423;1.550;1.150;0;1.000;465;395;1.600;0;397
1;CONCEIÇÃO;3001;1.718;1.112;4.795;1.722;0;1.535;807;1.068;3.928;463;725
1;CONCEIÇÃO;3101;772;610;2.312;937;0;711;283;521;1.897;0;343
1;CONCEIÇÃO;6301;3.788;2.814;10.663;2.287;0;3.190;1.201;1.676;8.922;1.264;1.111
1;CONCEIÇÃO;7601;120;37;219;35;0;142;67;24;271;682;40
1;DUNAS - URB;33;27.684;22.323;74.603;20.083;0;20.022;7.201;15.832;70.311;6.722;5.137
1;DUNAS - URB;40;21.711;15.705;53.588;18.682;0;31.767;12.618;11.818;71.739;4.968;4.680
1;DUNAS - URB;57;1.198;787;2.733;945;0;1.261;484;846;2.761;0;559
1;DUNAS - URB;98;0;0;0;0;0;0;0;0;0;0;1
1;DUNAS - URB;331;8.949;5.529;19.698;3.982;0;5.555;2.179;5.697;18.949;0;1.562
1;DUNAS - URB;332;1.896;1.172;4.812;949;0;1.032;400;1.149;2.990;423;600
1;DUNAS - URB;411;3.666;2.011;7.818;3.422;0;3.052;952;1.730;7.760;668;761
1;DUNAS - URB;738;0;0;0;0;0;0;0;0;0;0;1
1;DUNAS - URB;740;0;0;0;0;0;0;0;0;0;0;1
1;DUNAS - URB;7451;0;0;0;0;0;0;0;0;0;0;1
1;DUNAS - URB;7452;0;0;0;0;0;0;0;0;0;0;2
1;GUANABARA - URB;2;10.702;7.510;37.134;7.092;158;8.312;3.802;5.937;28.987;1.931;2.445
1;GUANABARA - URB;4;7.237;7.156;32.820;7.158;1;4.705;2.640;3.568;22.806;2.002;2.343
1;GUANABARA - URB;5;5.090;3.045;14.851;2.248;59;5.185;2.669;2.280;18.362;1.525;1.481
1;GUANABARA - URB;8;16.848;12.036;50.867;18.887;515;19.206;6.790;9.362;47.169;7.389;3.347
1;GUANABARA - URB;13;944;512;2.143;518;12;925;341;509;2.597;0;438
1;GUANABARA - URB;18;199;96;880;143;0;202;94;155;359;0;93
1;GUANABARA - URB;19;4.205;3.362;13.615;4.285;4;9.673;4.568;3.369;16.279;913;1.923
1;GUANABARA - URB;20;5.648;4.190;14.512;4.744;1;12.172;6.629;3.933;18.556;962;2.373
1;GUANABARA - URB;25;3.657;2.578;7.990;2.444;0;4.942;2.907;1.771;9.839;0;1.421
1;GUANABARA - URB;60;20.004;13.821;61.848;11.590;275;13.578;5.944;10.217;47.541;3.852;3.613
1;GUANABARA - URB;64;16.643;10.173;44.453;9.273;178;19.314;9.554;7.609;47.211;3.702;3.453
1;GUANABARA - URB;67;4.947;3.034;14.153;2.152;63;4.802;2.439;2.301;18.196;665;1.301
1;GUANABARA - URB;70;10.256;7.138;32.410;4.915;54;9.859;6.312;5.148;35.015;2.860;2.896
1;GUANABARA - URB;72;9.701;6.980;33.918;8.163;94;7.317;3.257;5.897;34.500;2.757;2.414
1;GUANABARA - URB;75;8.457;4.805;19.393;3.743;122;6.595;2.457;5.100;21.752;1.542;2.125
1;GUANABARA - URB;76;2.737;1.859;7.273;1.474;48;3.604;1.077;1.317;8.160;904;628
1;GUANABARA - URB;77;14.196;11.711;54.714;12.710;74;9.094;5.130;7.930;46.505;4.076;3.792
1;GUANABARA - URB;79;16.654;12.194;47.462;10.692;292;11.109;4.181;7.695;39.931;4.529;3.161
1;GUANABARA - URB;81;5.383;3.093;12.522;2.654;23;3.876;1.564;3.361;14.469;524;1.486
1;GUANABARA - URB;84;15.347;8.499;41.744;14.205;208;13.802;5.906;11.200;38.560;4.404;3.500
1;GUANABARA - URB;101;3.912;2.766;11.754;2.593;49;6.558;2.452;2.391;15.960;1.455;1.265
1;GUANABARA - URB;102;2.027;1.328;6.453;1.398;16;3.852;1.281;1.433;8.509;934;630
1;GUANABARA - URB;592;817;342;1.855;364;52;838;266;363;1.295;155;844
1;GUANABARA - URB;593;1.797;895;2.215;492;0;1.090;298;529;3.133;183;734
1;GUANABARA - URB;1029;5.022;3.564;14.702;3.898;53;3.689;1.564;2.573;12.353;1.375;943
1;GUANABARA - URB;1214;3.469;2.386;11.845;1.970;10;4.982;2.951;2.159;11.354;0;1.614
1;GUANABARA - URB;1301;2.792;1.589;6.673;1.762;81;3.028;1.298;1.754;8.878;0;1.371
1;GUANABARA - URB;1302;109;61;206;64;3;87;42;48;326;0;46
1;GUANABARA - URB;1516;8.715;5.932;22.428;4.712;164;8.888;4.605;5.043;26.696;1.958;2.034
1;GUANABARA - URB;1778;8.001;5.606;23.054;5.432;146;9.021;4.824;4.764;24.780;1.123;2.109
1;GUANABARA - URB;2369;608;427;1.973;720;0;908;394;423;1.693;0;396
1;GUANABARA - URB;6162;4.428;2.523;9.935;1.744;37;4.034;2.265;2.113;10.207;528;1.624
1;GUANABARA - URB;6443;6.334;3.930;16.608;3.383;9;5.265;2.291;3.625;15.764;1.473;1.118
1;GUANABARA - URB;7501;92;66;945;42;0;189;22;342;289;0;38
1;GUANABARA - URB;7502;805;473;1.796;383;0;710;310;457;2.302;0;189
1;GUANABARA - URB;7601;173;90;351;91;0;234;76;52;580;442;43
1;REUNIDAS;7;13.130;8.374;48.587;11.738;172;9.281;3.497;8.449;39.188;3.761;3.580
1;REUNIDAS;26;16.306;13.191;52.962;14.959;174;8.405;4.374;8.904;44.674;4.667;3.435
1;REUNIDAS;27;10.416;5.624;26.393;5.463;115;11.036;4.581;5.881;30.846;3.790;3.082
1;REUNIDAS;35;14.300;8.069;35.898;11.112;813;13.376;6.317;9.356;30.393;2.981;2.757
1;REUNIDAS;68;8.916;4.619;25.973;5.597;143;8.513;3.047;6.133;25.248;1.927;2.379
1;REUNIDAS;73;28.651;26.224;109.054;31.024;384;17.342;9.219;14.829;83.849;10.139;5.191
1;REUNIDAS;85;9.871;4.537;18.944;5.720;580;9.320;4.060;5.593;19.144;0;2.187
1;REUNIDAS;1029;14.709;10.110;44.614;12.378;107;10.595;4.329;7.710;34.645;3.601;2.754
1;REUNIDAS;1778;2.019;1.367;6.035;1.236;29;1.958;979;1.096;5.531;1.084;595
1;REUNIDAS;6443;6.513;3.888;17.518;3.994;7;5.543;2.303;4.189;16.545;1.680;1.141
1;REUNIDAS;7847;13.412;9.344;33.392;7.185;84;10.822;4.716;8.496;33.558;4.060;2.662
1;REUNIDAS;9018;13;23;274;447;0;377;9;27;215;30;94
1;SANTA MARIA - URB;24;12.272;7.761;32.366;11.712;0;10.384;5.396;8.682;29.716;960;3.369
1;SANTA MARIA - URB;34;4.581;3.175;10.317;3.320;0;8.436;4.382;2.684;13.664;0;1.642
1;SANTA MARIA - URB;36;5.188;3.961;15.486;5.544;0;8.122;3.762;3.304;17.710;1.528;2.108
1;SANTA MARIA - URB;37;15.973;13.861;29.821;11.368;0;11.552;6.320;8.062;34.865;1.780;3.666
1;SANTA MARIA - URB;38;21.493;15.394;47.010;13.389;0;30.727;14.362;10.733;70.146;7.300;4.370
1;SANTA MARIA - URB;39;11.847;7.524;31.617;9.293;0;8.434;3.625;6.428;23.244;1.250;3.318
1;SANTA MARIA - URB;44;10.423;8.871;24.632;7.502;0;12.389;6.980;6.509;29.383;1.376;3.398
1;SANTA MARIA - URB;46;13.216;12.504;27.681;12.297;0;6.787;5.009;7.025;36.598;2.613;2.933
1;SANTA MARIA - URB;48;7.800;6.288;14.389;5.570;0;7.993;4.339;3.304;19.739;1.926;2.136
1;SANTA MARIA - URB;54;15.427;14.123;34.835;12.859;0;10.901;7.689;7.531;46.445;4.291;3.586
